challenge_id,title,description,points,,date,date_a,date_c,submitUrl_a,submitUrl_c
git,Getting started with git,"During this challenge, you will create a repository on GitHub, clone it to your local machine, add files, commit those changes, push them back to GitHub, and then deploy your web site to your student web server. If you complete all the steps, you will have learned the techniques necessary for managing and deploying a web site!",100,0.038461538,Lecture 3,10/7/15,10/8/15,https://canvas.uw.edu/courses/990523/assignments/2967907,https://canvas.uw.edu/courses/990525/assignments/2974078
responsive,Core HTML and CSS concepts,"In this challenge, you'll practice your core HTML and CSS skills by building a web-page for a fictitious coffee shop.  The result will be a great looking web and mobile friendly site.   You'll also leverage your version control abilities and publish this website on your student server. ",200,0.076923077,Lecture 4,10/12/15,10/13/15,https://canvas.uw.edu/courses/990523/assignments/2967906,https://canvas.uw.edu/courses/990525/assignments/2974077
map-challenge,Mapping police shootings with Leaflet.js,"In this challenge, you'll use Leaflet.js to create an interactive map of crowd sourced police-shooting data.  As you know, this is a sensitive issue, so please be thoughtful in the way you discuss and complete you work. ",300,0.115384615,Lecture 6,10/19/15,10/20/15,https://canvas.uw.edu/courses/990523/assignments/2967909,https://canvas.uw.edu/courses/990525/assignments/2974080
crud,Build a CRUD web application,In this challenge you'll use the Parse engine to store data from your site's user interactions,300,0.115384615,Lecture 9,10/28/15,10/29/15,https://canvas.uw.edu/courses/990523/assignments/2971806,https://canvas.uw.edu/courses/990525/assignments/2974076
spotify,Spotify challenge,"In this challenge, you will build an angular application that requests data from the Spotify API.  A sample structure will be provided in lecture to get you started, and to give you a springboard for thinking creatively about what you can do with the data.",300,0.115384615,Lecture 12,11/9/15,11/10/15,https://canvas.uw.edu/courses/990523/assignments/2967912,https://canvas.uw.edu/courses/990525/assignments/2974084
project-proposal,Project Proposal,"At this point in the quarter, you'll need to turn in a formal description of your final project.",150,0.057692308,Lecture 14,11/16/15,11/17/15,https://canvas.uw.edu/courses/990523/assignments/2972705,https://canvas.uw.edu/courses/990525/assignments/2974083
portfolio,Personal Portfolio,This is an opportunity to build a personal online portfolio of your work.  The core skill of this challenge is building a website with multipage architecture,300,0.115384615,Lecture 16,11/23/15,11/24/15,https://canvas.uw.edu/courses/990523/assignments/2972456,https://canvas.uw.edu/courses/990525/assignments/2974081
presentation,Teaching presentation,"In this group challenge, you will find a JavaScript library and teach your fellow students how to use it.  Your interactive presentation will include a short exercise that demonstrates the implementation of the package.",400,0.153846154,Lecture 19,12/7/15,12/8/15,https://canvas.uw.edu/courses/990523/assignments/2967913/,https://canvas.uw.edu/courses/990525/assignments/2974085
project,Group project,"As a final assessment, your group will take on a self-directed project of developing a robust web application.  This fully functional webpage will build upon course skills to tackle a challenge of your choice.",500,0.192307692,Lecture 20,12/9/15,12/10/15,https://canvas.uw.edu/courses/990523/assignments/2967908,https://canvas.uw.edu/courses/990525/assignments/2974079
TBD,Project evaluation,Please fill out this evaluation of how your group performed.,50,0.019230769,Lecture 21,12/11/15,12/11/15,https://canvas.uw.edu/courses/990523/assignments/2967911,https://canvas.uw.edu/courses/990525/assignments/2974082
