project_id,url,description
pure-auto-repair,http://www.pureautomotiverepair.com/,A new website for Pure Automotive Repair
design-quiz,http://students.washington.edu/raghut2/info343/Final-Project-Design-Quiz/,An interior design quiz to determine your style
home-app,http://www.austinrmeyers.me/info343/final-project/#/home/,An application for a sleek browser home page
campus-map,http://students.washington.edu/yoakumjm/info343/campus-map/#,A Google maps implementation of building a campus map for a company
aiesec,http://students.washington.edu/yilinj/info343/INFO343/Project/#/,A new landing page for an international exchange program.
event-doc,http://students.washington.edu/czr/info343/final-project/#/,A website detailing how the surgery software EventDoc works
cafe-solstice,http://students.washington.edu/petern08/info343/solstice-cafe/#/home,A new website prototype for Cafe Solstice.
visual-dars,https://students.washington.edu/alew104/info343/UW-Visual-DARS/,A visual schedule builder for the UW Informatics IA track
twitter-maps,http://students.washington.edu/singhm5/info343/twitter-maps/pages/maps.html?,An interactive way to query the twitter API.
rfc,http://students.washington.edu/srimbak/info343/Real-Food-Challenge/,An interactive visualization of synthetic data for the Real Food Challenge
nam-photos,https://github.com/marcuspham/photo-website,Nam Pham's photography website.
